sku,post_title,tax:product_cat,post_status,comment_status,regular_price,stock_status,tax:product_type
B28532GW18DD001,Diamond bracelet in 18k white gold,bracelets,draft,closed,5000,instock,simple
B33964GW18SA001,Sapphire diamond bracelet in 18k white gold,bracelets,draft,closed,5000,instock,simple
E28402GW18SA001,Sapphire diamond earrings in 18k white gold,earrings,draft,closed,5000,instock,simple
E28409KP18QP001,Diamond earrings in 18k rose gold,earrings,draft,closed,5000,instock,simple
E28424GA18SY001,Yellow sapphire earrings in two-tone 18k gold,earrings,draft,closed,5000,instock,simple
E28463GW18DD001,Diamond earrings in 18k white gold,earrings,draft,closed,5000,instock,simple
E28464KP18DD001,Diamond earrings in 18k rose gold,earrings,draft,closed,5000,instock,simple
E28517GW18DD001,Diamond earrings in 18k white gold,earrings,draft,closed,5000,instock,simple
E28519GW18DD001,Diamond earrings in 18k white gold,earrings,draft,closed,5000,instock,simple
E28522KP18DD001,Diamond earrings in 18k rose gold,earrings,draft,closed,5000,instock,simple
N28413GC18SP001,Sapphire diamond necklace in two-tone 18k gold,Necklaces,draft,closed,5000,instock,simple
N28414GA18SY001,Yellow sapphire diamond necklace in two-tone 18k gold,Necklaces,draft,closed,5000,instock,simple
N28424GA18SY001,Yellow sapphire diamond necklace in twot-one 18k gold,Necklaces,draft,closed,5000,instock,simple
N28463GW18DD001,Diamond necklace in 18k white gold,Necklaces,draft,closed,5000,instock,simple
N28537GA18DD001,Diamond necklace in two-tone 18k gold,Necklaces,draft,closed,5000,instock,simple
P28409KP18QP001,Diamond necklace in 18k rose gold,Necklaces,draft,closed,5000,instock,simple
P28469KP18DD001,Diamond necklace in 18k rose gold,Necklaces,draft,closed,5000,instock,simple
P28517GW18DD001,Diamond necklace in 18k white gold,Necklaces,draft,closed,5000,instock,simple
P28518KY18DD001,Diamond necklace in 18k yellow gold,Necklaces,draft,closed,5000,instock,simple
P28521GW18DD001,Diamond necklace in 18k white gold,Necklaces,draft,closed,5000,instock,simple
P28522KP18DD001,Diamond necklace in 18k rose gold,Necklaces,draft,closed,5000,instock,simple
P28534GW18DD001,Diamond necklace in 18k white gold,Necklaces,draft,closed,5000,instock,simple
P28542GW18DD001,Diamond necklace in 18k white gold,Necklaces,draft,closed,5000,instock,simple
R28424GA18SY001,Yellow sapphire rings in two-tone 18k gold,Rings,draft,closed,5000,instock,simple
R28493GC18DD001,Diamond ring in two-tone 18k gold,Rings,draft,closed,5000,instock,simple
R28495GA18DD001,Diamond ring in two-tone 18k gold,Rings,draft,closed,5000,instock,simple
R28504KY18V01001,Diamond ring in 18k gold,Rings,draft,closed,5000,instock,simple
R28536GW18DD001,Diamond ring in 18k white gold,Rings,draft,closed,5000,instock,simple
R28537GA18DD001,Diamond ring in two-tone 18k gold,Rings,draft,closed,5000,instock,simple
R28538GW18DD001,Diamond ring in 18k white gold,Rings,draft,closed,5000,instock,simple
R28539GW18DD001,Diamond ring in 18k white gold,Rings,draft,closed,5000,instock,simple
R28540KY18DD001,Diamond ring in 18k gold,Rings,draft,closed,5000,instock,simple
